245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Surface modification of the intraocular lens via plasma deposition /		by Nancy Bennett Mateo.	"Mateo, Nancy Bennett."		M.S. Ch. E.	University of Washington	1984	841023s1984\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 90 leaves :"			11298434
Nonisothermal extrudate swell and squeezing flow of elastic liquids /		by Matthew Andrew McClelland.	"McClelland, Matthew Andrew."		Ph. D.	University of Washington	1985	860212s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 363 leaves :"			13144625
Ion transport characteristics of the bone membrane /		by Kelly James McGrath.	"McGrath, Kelly James."		M.S. Ch. E.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	63 leaves :			12165373
Processing optimization of bismaleimide matrix composites /		by Julien Meissonnier.	"Meissonnier, Julien."		M.S.E.	University of Washington	1988	881104s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 192 leaves :"			18712278
Transport characteristics of the bone membrane as a function of age /		by Linda Ann Mihalik.	"Mihalik, Linda Ann."		M.S. Ch. E.	University of Washington	1985	850904s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 96 leaves :"			12489703
Hygrothermal effects on the mechanical properties of epoxies and graphite-epoxy composites /		by Wayne John Mikols.	"Mikols, Wayne John."		Ph. D.	University of Washington	1982	821015s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 229 leaves :"			8862826
A single fiber pull-out test for fiber-epoxy adhesion evaluation of surface modified Kevlar /		by Atsuo Miyake.	"Miyake, Atsuo."		M.S. Ch. E.	University of Washington	1983	830622s1983\\\\xx\af\\\\bm\\\000\0\eng\d	"v, 68 leaves, 1 unnumbered leaf of plates :"			9632431
Immobilized enzyme reactors /		by Stephen Gregory Moore.	"Moore, Stephen Gregory."		M.S. Ch. E.	University of Washington	1982	820813s1982\\\\xx\\\\\\\bm\\\000\0\eng\d	"vi, 94 leaves "			8685133
Decolorization of chitosan /		by Mutombo Muvundamina.	"Muvundamina, Mutombo."		M.S.	University of Washington	1986	870709s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 69 leaves :"			16151617
Measurement of the thermal conductivity of aqueous solutions in gel form ...			"Names, Paul Gene."		B.S. in Chem. E.	University of Washington		890602s1982\\\\xx\\\\\\\bm\\\000\0\eng\d	13 leaves			19804639
CO detection by the photo-response of ZnO thin films deposited on chemical field effect transistors /		by Phuongdung Nguyen.	"Nguyen, Phuongdung."		M.S. Ch. E.	University of Washington	1987	880107s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 121 leaves :"			17315541
Electrohydrodynamic atomization of liquid jets /		by M. Susan Ogg.	"Ogg, M. Susan."		M.S. Ch. E.	University of Washington	1984	841023s1984\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 96 leaves :"			11298376
Fibrinogen desorption from surfaces :	effect of shearing flow and SDS detergent /	by David Reese Overcashier.	"Overcashier, David Reese."		M.S. Ch. E.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 94 leaves :"			14985322
Kinetics of flocculation of a polystyrene latex in the presence of both steric and electrostatic stabilization /		by Deborarh Ann Parsons.	"Parsons, Deborah Ann."		M.S. Ch. E.	University of Washington	1983	831129s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 106 leaves :"			10168358
Regulation of ion transport by the bone membrane /		by Dale Richard Peterson.	"Peterson, Dale Richard."		Ph. D.	University of Washington	1982	830106s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 132 leaves :"			9104296
Surface fractionation of multi-component oil mixtures /		by James Wherry Peterson.	"Peterson, James Wherry."		Ph. D.	University of Washington	1985	851126s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 200 leaves :"			12850348
A composite approach to the processing-structure-property characterization of semicrystalline polymers /		by Kaveh Pournoor.	"Pournoor, Kaveh."		Ph. D.	University of Washington	1987	880608s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 402 leaves :"			18057812
Measurement of ultralow levels of radioactivity using the electrodynamic balance /		by Deborah Greimel Rodenhizer.	"Rodenhizer, Deborah Greimel."		M.S. Ch. E.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 95 leaves :"			14985341
Comparison of wicking and single filament techniques for determining contact angles /		by Katherine Elizabeth Scher.	"Scher, Katherine Elizabeth."		M.S. Ch. E.	University of Washington	1983	831024s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 110 leaves :"			10049082
Dynamic modeling of a multiple effect evaporator /		by Thomas Arthur Sewell.	"Sewell, Thomas Arthur."		M.S. Ch. E.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 138 leaves :"			12165520
In situ surface analysis at solid-liquid interfaces using piezoelectric quartz crystals and total internal reflectance spectrometry /		by Randall Leland Simpson.	"Simpson, Randall Leland."		Ph. D.	University of Washington	1985	860212s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 341 leaves :"			13144649
A real-time data acquisition and control system for anaerobic fluidized bed bioreactors :	applications to frequency response characterization and dynamic modeling /	by William R. Slater.	"Slater, William R."		M.S. Ch. E.	University of Washington	1987	880107s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 270 leaves :"			17315514
Thermal and inertial corrections for the hole pressure problem /		by Radhakrishnan Srinivasan.	"Srinivasan, Radhakrishnan."	Q102290007	M.S. Ch. E.	University of Washington	1986	860923s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	63 leaves :			14254553
Thermal and internal corrections for the hole pressure problem /		Radhakrishnan Srinivasan.	"Srinivasan, Radhakrishnan,author."	Q102290007	M.S. Ch. E.	University of Washington	1986	160425t19861986waua\\\\obm\\s000\0\eng\d	1 online resource (63 pages) :	"Finlayson, Bruce A.,degree supervisor."	http://hdl.handle.net/1773/35057	947738904
Kinetic influences on the processing-structure-property relationships of high-performance epoxy matrices and their composites /		by Eric Brian Stark.	"Stark, Eric Brian."		Ph. D.	University of Washington	1985	851120s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxii, 410 leaves :"			12825126
The collapse and re-spreading of insoluble monolayers at the air-water interface /		by Rita Webber Stevens.	"Stevens, Rita Webber."		Ph. D.	University of Washington	1982	821012s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 288 leaves :"			8851732
The synthesis and evaluation of an amino-s-triazine substituted polyacrylamide dry strength resin for paper /		by Mark P. Sullivan.	"Sullivan, Mark P."		M.S. Ch. E.	University of Washington	1987	880622s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 132 leaves :"			18123111
Interpretation of microdroplet mass transfer phenomena by optical resonance spectroscopy /		by Daniel C. Taflin.	"Taflin, Daniel C.,1960-"		Ph. D.	University of Washington	1988	890720s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 218 leaves :"			20042208
Effect of monolayer collapse on bubble stability /		by Randal Lee Ternes.	"Ternes, Randal Lee."		M.S. Ch. E.	University of Washington	1983	830825s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 110 leaves :"			9844082
"Mathematical and experimental modeling of heat, water, and soluble gas exchange in the trachea /"		by Maria Elizabeth Tsu.	"Tsu, Maria Elizabeth."		M.S. Ch. E.	University of Washington	1986	870320s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 200 leaves :"			15348902
Numerical extrudate swell calculations and exit pressure experiments for low-density polyethylene melts /		by Nazime Yeṣim Tuna.	"Tuna, Nazime Yeṣim."		Ph. D.	University of Washington	1986	870320s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxiii, 431 leaves (some folded) :"			15348897
Thermal processing and characterization of polyetheretherketone (PEEK) matrices and carbon reinforced composites /		by Chris Nicholas Velisaris.	"Velisaris, Chris Nicholas."		M.S. Ch. E.	University of Washington	1985	860212s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 246 leaves :"			13144656
Mathematical modeling of galvanic corrosion cells :	coupling of corrosion and geochemical processes in nuclear waste isolation /	by John Walton.	"Walton, John Calvin."		M.S. Ch. E.	University of Washington	1988	890228s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 67 leaves :"			19279684
Quantitative structure-property relations for branched and linear polyethylene /		by Alan Ray Wedgewood.	"Wedgewood, Alan Ray."		Ph. D.	University of Washington	1982	821012s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 402 leaves :"			8851746
The effect of ouabain on the electrical potential difference across the bone membrane /		by David J. Wirth.	"Wirth, David J."		M.S. Ch. E.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 41 leaves :"			12165580
Development of a piezoelectric sensor to monitor fluid properties and flow rates /		by Barry Mitchell Wise.	"Wise, Barry Mitchell."		M.S. Ch. E.	University of Washington	1987	880620s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 92 leaves :"			18112555
Concentration polarization and thermodynamic effects on rejection from ultrafilter membranes /		by Douglas L. Woerner.	"Woerner, Douglas L."		Ph. D.	University of Washington	1983	840327s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 249 leaves :"			10565137
Phase behavior and microstructure of microemulsions /		by Klaus Robert Wormuth.	"Wormuth, Klaus Robert,1961-"		Ph. D.	University of Washington	1988	900102s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxi, 202 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9108541	20837150
The effect of formation time on mass transfer to forming drops /		by Michael Wendell Wright.	"Wright, Michael Wendell."		M.S. Ch. E.	University of Washington	1982	820517s1982\\\\xx\af\\\\bm\\\000\0\eng\d	"iv, 84 leaves, 18 unnumbered leaves of plates :"			8435241
Algorithms for modelling angular dependent ESCA depth profile data /		by Robert Sinchor Yih.	"Yih, Robert Sinchor."		M.S. Ch. E.	University of Washington	1985	851120s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 71 leaves :"			12825117
Thermosetting matrix based composite impregnation science and engineering /		by Kyujong Ahn.	"Ahn, Kyujong,1958-"		Ph. D.	University of Washington	1990	910812s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxvii, 376 leaves :"			24224297
Heat and mass transfer studies of single microparticles via elastic and inelastic light scattering /		by Theresa Marie Allen.	"Allen, Theresa Marie,1965-"		Ph. D.	University of Washington	1993	930914s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 318 pages :"			28824603
Processing studies for the manufacture of composite honeycomb sandwich structures /		by Alfred William Alteneder.	"Alteneder, Alfred William."		M.S. Ch. E.	University of Washington	1993	940426s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 145 leaves :"			30330210
Determination of the through-thickness properties of advanced composite materials /		by William J. Babbitt.	"Babbitt, William J."		M.S. Ch. E.	University of Washington	1989	900802s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 142 leaves :"			22172193
Computational simulation of viscoelastic fluids :	comparison with experiment /	Thomas Alva Baer.	"Baer, Thomas Alva."		Ph. D.	University of Washington	1991	910827s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 256 leaves :"			24300009
Structure and phase behavior in microemulsions /		by John Frederick Billman.	"Billman, John Frederick,1958-"		Ph. D.	University of Washington	1990	910111s1990\\\\xx\a\\\\\bmt\\000\0\eng\d	"x, 190 leaves :"		http://hdl.handle.net/1773/9825;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9104200	22949315
Development and characterization of an evanescent fiber optic chemical sensor /		by Dianna S. Blair.	"Blair, Dianna S.,1959-"		Ph. D.	University of Washington	1994	950208s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 270 leaves :"			31956916
Examination of platinum (111) electrocatalytic surfaces by combined ultrahigh vacuum and electrochemical methods /		by Rodney L. Borup.	"Borup, Rodney L.,1965-"		Ph. D.	University of Washington	1993	940426s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 284 leaves :"			30330150
Measurement of surface tension using an electrodynamic balance /		by Michael Alan Bridges.	"Bridges, Michael Alan."		M.S. Ch. E.	University of Washington	1990	900807s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 89 leaves :"			22192878
A new dual-stage multicomponent thermosetting polymer system /		by Richard Allan Brouns.	"Brouns, Richard Allan,1956-"		Ph. D.	University of Washington	1993	940406s1993\\\\xx\a\\\\\bmt\\000\0\eng\d	"vi, 113 leaves :"		http://hdl.handle.net/1773/9864;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9409288	30094156
Hygrothermal stability of polyimide matrix composites /		by Robley Aaron Brown.	"Brown, Robley Aaron."		M.S. Ch. E.	University of Washington	1993	940504s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 129 leaves :"			30379454
Raman spectroscopy of levitated micro-particles /		by Mark Fredrick Buehler.	"Buehler, Mark Fredrick."		Ph. D.	University of Washington	1991	911010s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 146 leaves :"			24530827
Surface characterization of polymer blends :	acid/base consideration in static SIMS /	by Sean J. Caldwell.	"Caldwell, Sean J."		M.S. Ch. E.	University of Washington	1990	900810s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 259 leaves :"			22205896
Glucose-sensitive membranes for control of hydraulic permeability /		by Stéphanie Cartier.	"Cartier, Stéphanie."		M.S. Ch. E.	University of Washington	1993	940425s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 118 leaves :"			30327177
Protein precipitation by polyelectrolytes /		by Wen Chen.	"Chen, Wen,1964-"		Ph. D.	University of Washington	1992	921201s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 160 leaves :"			27048098
Surface chemistry of organic plasma-depositied films created from oxygen-containing precursors /		by Ashutosh Chilkoti.	"Chilkoti, Ashutosh,1964-"		Ph. D.	University of Washington	1991	911210s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 367 leaves :"			24925702
Fibrinogen adsorption and platelet adhesion to polymeric materials /		by Joseph A. Chinn.	"Chinn, Joseph Andrew."		Ph. D.	University of Washington	1990	901226s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 254 leaves :"			22899154
"Effects of EHDP (disodium ethane-1-hydroxy-1, 1-diphosphonate) and Cl₂MDP (disodium dichloromethylene diphosphonate) on transport characteristics of the bone membrane /"		by Mark Harrison Chopper.	"Chopper, Mark H."		Ph. D.	University of Washington	1989	900228s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 273 leaves :"			21136608
Rate phenomena in the processing of high performance thermoplastic based composites /		by Steven Douglas Copeland.	"Copeland, Steven Douglas."		M.S. Ch. E.	University of Washington	1989	900801s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 150 leaves :"			22165417
Dynamic modelling of a slurry fed ceramic melter used in the nuclear waste vitrification process /		by Bruce R. Davis.	"Davis, Bruce R."		M.S. Ch. E.	University of Washington	1989	891019s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 113 leaves :"			20512842
Comparison of fault detection techniques using residuals from statistical and dynamic models /		by David D. Douglas.	"Douglas, David D."		M.S. Ch. E.	University of Washington	1992	920728s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 113 leaves :"			26277177
Electrosteric stabilization /		by Maryann B. Einarson.	"Einarson, Maryann B.,1963-"		Ph. D.	University of Washington	1992	921105s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 143 leaves :"			26921146
Endothelial cell interactions with radio-frequency plasma deposited surfaces /		by Sylvie I. Ertel.	"Ertel, Sylvie I.(Sylvie Isabelle),1962-"		Ph. D.	University of Washington	1990	910103s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 138 leaves :"			22918610
Characterization of dissimilar matrix composite materials /		by Jeffrey Allen Fenbert.	"Fenbert, Jeffrey Allen."		M.S.E.	University of Washington	1992	930203s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 174 leaves :"			27366531
Manifestations of crystallization in the processing of high-performance thermoplastic composites /		by James Anthony Ferrara.	"Ferrara, James Anthony,1966-"		Ph. D.	University of Washington	1994	940729s1994\\\\xx\a\\\\\bmt\\000\0\eng\d	"xix, 306 leaves :"		http://hdl.handle.net/1773/9896	30851280
Application of PLS modeling to ELISA measurements of fibrinogen adsorption to untreated and RF plasma modified microtitre wells /		by James E. Francese.	"Francese, James E."		M.S. Ch. E.	University of Washington	1989	910114s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 136 leaves :"			22962532
Analysis and control of non-minimum phase multivariable systems /		by Paula J. Galloway.	"Galloway, Paula J.,1957-"		Ph. D.	University of Washington	1990	900822s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 180 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9025999	22257369
Viscoelastic characterization of reactive polymeric composites /		by Shubang Gan.	"Gan, Shubang."		M.S. Ch. E.	University of Washington	1991	920211s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 160 leaves :"			25260343
Model predictive control of a combined sewer system /		by Marc Steven Gelormino.	"Gelormino, Marc Steven."		Ph. D.	University of Washington	1994	950428s1994\\\\xx\a\\\\\bmt\\000\0\eng\d	"xviii, 426 leaves :"		http://hdl.handle.net/1773/9858	32384088
Dimensional analysis and scale-up for high-performance injection molding /		by James S. Griffing.	"Griffing, James S."		M.S. Ch. E.	University of Washington	1991	911022s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxviii, 271 leaves :"			24605352
Insights to cellulose degradation in alkaline pulping /		by Robin Earl Haaland.	"Haaland, Robin Earl."		M.S.C.E.	University of Washington	1994	941018s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 89 leaves :"			31305904
